year,month,day,discharge_ft3s
1948,1,1,3.8
1948,1,2,3.7
1948,1,3,3.8
1948,1,4,3.7
1948,1,5,3.3
1948,1,6,3.5
1948,1,7,5.6
1948,1,8,6.9
1948,1,9,6.9
1948,1,10,6.9
1948,1,11,7.1
1948,1,12,7.4
1948,1,13,7.6
1948,1,14,8.3
1948,1,15,8.3
1948,1,16,9
1948,1,17,10
1948,1,18,18
1948,1,19,25
1948,1,20,27
1948,1,21,22
1948,1,22,13
1948,1,23,8.3
1948,1,24,5.8
1948,1,25,6.1
1948,1,26,6.5
1948,1,27,6.5
1948,1,28,6.5
1948,1,29,6.7
1948,1,30,7.6
1948,1,31,7.6
1948,2,1,8.3
1948,2,2,8.7
1948,2,3,9
1948,2,4,9.2
1948,2,5,9.2
1948,2,6,9.7
1948,2,7,10
1948,2,8,13
1948,2,9,14
1948,2,10,12
1948,2,11,11
1948,2,12,11
1948,2,13,10
1948,2,14,10
1948,2,15,10
1948,2,16,9.7
1948,2,17,9.4
1948,2,18,9.2
1948,2,19,9
1948,2,20,8.7
1948,2,21,8.5
1948,2,22,39
1948,2,23,34
1948,2,24,21
1948,2,25,17
1948,2,26,16
1948,2,27,16
1948,2,28,15
1948,2,29,14
1948,3,1,13
1948,3,2,13
1948,3,3,12
1948,3,4,11
1948,3,5,20
1948,3,6,29
1948,3,7,20
1948,3,8,70
1948,3,9,94
1948,3,10,68
1948,3,11,35
1948,3,12,16
1948,3,13,11
1948,3,14,10
1948,3,15,9
1948,3,16,9
1948,3,17,9
1948,3,18,9
1948,3,19,8.3
1948,3,20,8.3
1948,3,21,8
1948,3,22,7.6
1948,3,23,7.6
1948,3,24,7.6
1948,3,25,7.4
1948,3,26,7.1
1948,3,27,7.1
1948,3,28,6.9
1948,3,29,6.9
1948,3,30,6.7
1948,3,31,6.7
1948,4,1,6.5
1948,4,2,6.3
1948,4,3,5
1948,4,4,5.4
1948,4,5,5.4
1948,4,6,4.8
1948,4,7,5
1948,4,8,4.2
1948,4,9,5
1948,4,10,5
1948,4,11,4.8
1948,4,12,4.4
1948,4,13,4.8
1948,4,14,4.6
1948,4,15,4.6
1948,4,16,4.6
1948,4,17,4.6
1948,4,18,4.2
1948,4,19,4.4
1948,4,20,4.6
1948,4,21,5
1948,4,22,7.1
1948,4,23,12
1948,4,24,7.1
1948,4,25,22
1948,4,26,12
1948,4,27,11
1948,4,28,6.3
1948,4,29,5.4
1948,4,30,4.4
1948,5,1,3.8
1948,5,2,4
1948,5,3,3.8
1948,5,4,3.8
1948,5,5,4
1948,5,6,4
1948,5,7,3.8
1948,5,8,4.4
1948,5,9,5
1948,5,10,5
1948,5,11,7.6
1948,5,12,10
1948,5,13,6.9
1948,5,14,6.1
1948,5,15,4.4
1948,5,16,4.2
1948,5,17,4.2
1948,5,18,4
1948,5,19,4.6
1948,5,20,5.2
1948,5,21,4.6
1948,5,22,4.4
1948,5,23,4.6
1948,5,24,5.6
1948,5,25,18
1948,5,26,18
1948,5,27,12
1948,5,28,11
1948,5,29,9.2
1948,5,30,6.1
1948,5,31,4.2
1948,6,1,3.5
1948,6,2,2.9
1948,6,3,2.7
1948,6,4,2.6
1948,6,5,2.4
1948,6,6,2.4
1948,6,7,2.4
1948,6,8,2.4
1948,6,9,2.9
1948,6,10,2.7
1948,6,11,2.9
1948,6,12,3.7
1948,6,13,2.4
1948,6,14,3.1
1948,6,15,3.1
1948,6,16,2.4
1948,6,17,1.9
1948,6,18,1.6
1948,6,19,1.8
1948,6,20,1.5
1948,6,21,1.8
1948,6,22,1.9
1948,6,23,1.8
1948,6,24,1.8
1948,6,25,2.7
1948,6,26,3.1
1948,6,27,2.1
1948,6,28,2.4
1948,6,29,2.6
1948,6,30,4
1948,7,1,200
1948,7,2,138
1948,7,3,58
1948,7,4,105
1948,7,5,81
1948,7,6,34
1948,7,7,14
1948,7,8,9
1948,7,9,10
1948,7,10,6.1
1948,7,11,4.4
1948,7,12,4
1948,7,13,3.8
1948,7,14,3.5
1948,7,15,3.1
1948,7,16,2.7
1948,7,17,3.1
1948,7,18,4.8
1948,7,19,6.7
1948,7,20,3.3
1948,7,21,2.9
1948,7,22,2.1
1948,7,23,2.6
1948,7,24,2.3
1948,7,25,2.3
1948,7,26,2.3
1948,7,27,2.4
1948,7,28,1.9
1948,7,29,2.3
1948,7,30,2.3
1948,7,31,2.3
1948,8,1,2.1
1948,8,2,2.6
1948,8,3,2.3
1948,8,4,2.1
1948,8,5,2.4
1948,8,6,2.4
1948,8,7,2.3
1948,8,8,2.3
1948,8,9,2.3
1948,8,10,2.3
1948,8,11,2.4
1948,8,12,2.1
1948,8,13,1.8
1948,8,14,1.8
1948,8,15,1.8
1948,8,16,2.1
1948,8,17,1.8
1948,8,18,1.8
1948,8,19,1.8
1948,8,20,1.8
1948,8,21,1.8
1948,8,22,1.9
1948,8,23,1.9
1948,8,24,1.9
1948,8,25,2.3
1948,8,26,2.1
1948,8,27,2.3
1948,8,28,1.8
1948,8,29,2.3
1948,8,30,1.9
1948,8,31,1.8
1948,9,1,1.8
1948,9,2,1.3
1948,9,3,1.3
1948,9,4,1.3
1948,9,5,1.3
1948,9,6,1.3
1948,9,7,1.2
1948,9,8,1.6
1948,9,9,4.7
1948,9,10,8.6
1948,9,11,4.4
1948,9,12,20
1948,9,13,9.4
1948,9,14,4.4
1948,9,15,2.7
1948,9,16,3.1
1948,9,17,2.6
1948,9,18,2.4
1948,9,19,2.4
1948,9,20,2.3
1948,9,21,2.1
1948,9,22,2.4
1948,9,23,2.3
1948,9,24,2.6
1948,9,25,2.6
1948,9,26,2.4
1948,9,27,2.1
1948,9,28,2.1
1948,9,29,1.6
1948,9,30,1.6
1948,10,1,2.1
1948,10,2,2.3
1948,10,3,2.1
1948,10,4,2.4
1948,10,5,2.4
1948,10,6,2.7
1948,10,7,2.9
1948,10,8,2.4
1948,10,9,2.4
1948,10,10,2.4
1948,10,11,2.4
1948,10,12,2.7
1948,10,13,3.3
1948,10,14,2.6
1948,10,15,2.3
1948,10,16,3.5
1948,10,17,9.4
1948,10,18,5.8
1948,10,19,2.4
1948,10,20,2.1
1948,10,21,2.9
1948,10,22,2.3
1948,10,23,2.6
1948,10,24,2.6
1948,10,25,2.7
1948,10,26,2.6
1948,10,27,2.4
1948,10,28,2.7
1948,10,29,2.4
1948,10,30,2.7
1948,10,31,2.7
1948,11,1,2.6
1948,11,2,2.4
1948,11,3,3.1
1948,11,4,2.7
1948,11,5,2.6
1948,11,6,2.7
1948,11,7,2.8
1948,11,8,2.9
1948,11,9,3.1
1948,11,10,2.9
1948,11,11,2.6
1948,11,12,3.1
1948,11,13,7.4
1948,11,14,3.7
1948,11,15,3.5
1948,11,16,4.2
1948,11,17,2.4
1948,11,18,2.1
1948,11,19,2.1
1948,11,20,2.9
1948,11,21,3.5
1948,11,22,3.3
1948,11,23,3.3
1948,11,24,3.5
1948,11,25,3.7
1948,11,26,3.7
1948,11,27,3.3
1948,11,28,3.5
1948,11,29,3.5
1948,11,30,3.5
1948,12,1,3.3
1948,12,2,3.1
1948,12,3,3.3
1948,12,4,3.7
1948,12,5,4
1948,12,6,2.9
1948,12,7,2.1
1948,12,8,2.3
1948,12,9,2.4
1948,12,10,2.6
1948,12,11,2.6
1948,12,12,2.6
1948,12,13,3.1
1948,12,14,3.7
1948,12,15,3.8
1948,12,16,3.7
1948,12,17,3.7
1948,12,18,4
1948,12,19,4.4
1948,12,20,4
1948,12,21,3.3
1948,12,22,3.7
1948,12,23,2.6
1948,12,24,2.6
1948,12,25,2.9
1948,12,26,3.7
1948,12,27,2.9
1948,12,28,3.3
1948,12,29,3.5
1948,12,30,3.7
1948,12,31,3.7
1949,1,1,3.6
1949,1,2,3.6
1949,1,3,3.5
1949,1,4,2.7
1949,1,5,3.1
1949,1,6,2.9
1949,1,7,3.3
1949,1,8,3.5
1949,1,9,3.5
1949,1,10,3.1
1949,1,11,3.8
1949,1,12,3.3
1949,1,13,3.8
1949,1,14,4.2
1949,1,15,4.1
1949,1,16,4
1949,1,17,4
1949,1,18,4
1949,1,19,4
1949,1,20,4.2
1949,1,21,5.4
1949,1,22,5
1949,1,23,3.3
1949,1,24,5.4
1949,1,25,6.1
1949,1,26,5.8
1949,1,27,4.8
1949,1,28,4.4
1949,1,29,4.8
1949,1,30,5.2
1949,1,31,5.2
1949,2,1,4.6
1949,2,2,4.2
1949,2,3,5.4
1949,2,4,4.8
1949,2,5,5.4
1949,2,6,5.8
1949,2,7,4.2
1949,2,8,2.7
1949,2,9,2.9
1949,2,10,2.1
1949,2,11,2.4
1949,2,12,2.7
1949,2,13,2.1
1949,2,14,2.1
1949,2,15,2.3
1949,2,16,3.5
1949,2,17,5.4
1949,2,18,67
1949,2,19,190
1949,2,20,86
1949,2,21,26
1949,2,22,13
1949,2,23,4.8
1949,2,24,4.5
1949,2,25,22
1949,2,26,190
1949,2,27,130
1949,2,28,7.8
1949,3,1,18
1949,3,2,8.4
1949,3,3,4.2
1949,3,4,4.4
1949,3,5,3.8
1949,3,6,4.2
1949,3,7,4.4
1949,3,8,4.6
1949,3,9,5.6
1949,3,10,4.8
1949,3,11,4.4
1949,3,12,4.6
1949,3,13,4.6
1949,3,14,4.4
1949,3,15,13
1949,3,16,22
1949,3,17,6.2
1949,3,18,3.8
1949,3,19,3.7
1949,3,20,6.5
1949,3,21,6.5
1949,3,22,3.7
1949,3,23,3.3
1949,3,24,3.5
1949,3,25,3.5
1949,3,26,3.5
1949,3,27,4.2
1949,3,28,3.7
1949,3,29,3.5
1949,3,30,3.1
1949,3,31,4.8
1949,4,1,6.7
1949,4,2,5.3
1949,4,3,1.5
1949,4,4,1.6
1949,4,5,1.5
1949,4,6,1.3
1949,4,7,1.3
1949,4,8,3.1
1949,4,9,7.4
1949,4,10,1.2
1949,4,11,1.3
1949,4,12,1.3
1949,4,13,1.2
1949,4,14,3.6
1949,4,15,6.7
1949,4,16,6.1
1949,4,17,5.2
1949,4,18,4.8
1949,4,19,5.4
1949,4,20,6.7
1949,4,21,8.7
1949,4,22,18
1949,4,23,120
1949,4,24,218
1949,4,25,1050
1949,4,26,3680
1949,4,27,1000
1949,4,28,232
1949,4,29,146
1949,4,30,344
1949,5,1,691
1949,5,2,226
1949,5,3,73
1949,5,4,14
1949,5,5,8
1949,5,6,6.5
1949,5,7,5.6
1949,5,8,5.6
1949,5,9,5.4
1949,5,10,5.6
1949,5,11,5.8
1949,5,12,5.4
1949,5,13,5.8
1949,5,14,5.2
1949,5,15,5.4
1949,5,16,5.2
1949,5,17,5.4
1949,5,18,5.2
1949,5,19,5
1949,5,20,5.4
1949,5,21,5.6
1949,5,22,5.8
1949,5,23,5.4
1949,5,24,6.1
1949,5,25,14
1949,5,26,74
1949,5,27,381
1949,5,28,262
1949,5,29,84
1949,5,30,44
1949,5,31,52
1949,6,1,33
1949,6,2,18
1949,6,3,8.3
1949,6,4,7.1
1949,6,5,7.1
1949,6,6,6.9
1949,6,7,6.9
1949,6,8,9.7
1949,6,9,17
1949,6,10,24
1949,6,11,27
1949,6,12,9.6
1949,6,13,18
1949,6,14,23
1949,6,15,7.6
1949,6,16,7.6
1949,6,17,7.4
1949,6,18,7.4
1949,6,19,7.5
1949,6,20,7.7
1949,6,21,7.8
1949,6,22,8
1949,6,23,8.2
1949,6,24,8.3
1949,6,25,8.5
1949,6,26,8
1949,6,27,7.8
1949,6,28,7.4
1949,6,29,7.4
1949,6,30,8.5
1949,7,1,8.7
1949,7,2,8.8
1949,7,3,9
1949,7,4,34
1949,7,5,74
1949,7,6,37
1949,7,7,16
1949,7,8,14
1949,7,9,12
1949,7,10,10
1949,7,11,9.1
1949,7,12,7.6
1949,7,13,8.3
1949,7,14,8.7
1949,7,15,50
1949,7,16,279
1949,7,17,243
1949,7,18,38
1949,7,19,9.2
1949,7,20,8.5
1949,7,21,9
1949,7,22,9.2
1949,7,23,8.5
1949,7,24,8.3
1949,7,25,7.8
1949,7,26,8.3
1949,7,27,8.7
1949,7,28,8.7
1949,7,29,9
1949,7,30,9
1949,7,31,8.7
1949,8,1,8.7
1949,8,2,9
1949,8,3,9
1949,8,4,9
1949,8,5,11
1949,8,6,43
1949,8,7,11
1949,8,8,9.2
1949,8,9,9.2
1949,8,10,9.2
1949,8,11,9.4
1949,8,12,9.4
1949,8,13,9.7
1949,8,14,9.7
1949,8,15,9.7
1949,8,16,9.2
1949,8,17,8.7
1949,8,18,9.4
1949,8,19,9.2
1949,8,20,9.4
1949,8,21,9.2
1949,8,22,9.7
1949,8,23,10
1949,8,24,9
1949,8,25,9
1949,8,26,9.2
1949,8,27,9.7
1949,8,28,9.2
1949,8,29,8.7
1949,8,30,9
1949,8,31,9.7
1949,9,1,9.2
1949,9,2,9.4
1949,9,3,9.2
1949,9,4,9.2
1949,9,5,9
1949,9,6,9
1949,9,7,9
1949,9,8,9
1949,9,9,9.4
1949,9,10,20
1949,9,11,11
1949,9,12,9.7
1949,9,13,8.7
1949,9,14,7.6
1949,9,15,5
1949,9,16,4.6
1949,9,17,3.8
1949,9,18,4.4
1949,9,19,4.8
1949,9,20,4.6
1949,9,21,4.8
1949,9,22,5
1949,9,23,4.8
1949,9,24,5
1949,9,25,4.6
1949,9,26,4.8
1949,9,27,5
1949,9,28,5
1949,9,29,4.8
1949,9,30,4.6
1949,10,1,4.5
1949,10,2,4.5
1949,10,3,4.7
1949,10,4,4.9
1949,10,5,4.7
1949,10,6,4.7
1949,10,7,4.7
1949,10,8,4.5
1949,10,9,4.5
1949,10,10,4.5
1949,10,11,4.5
1949,10,12,4.5
1949,10,13,4.7
1949,10,14,4.7
1949,10,15,4.5
1949,10,16,4.5
1949,10,17,4.5
1949,10,18,4.5
1949,10,19,4.5
1949,10,20,4.5
1949,10,21,4.9
1949,10,22,5.8
1949,10,23,5.2
1949,10,24,4.9
1949,10,25,5.2
1949,10,26,5.4
1949,10,27,7
1949,10,28,26
1949,10,29,45
1949,10,30,24
1949,10,31,14
1949,11,1,11
1949,11,2,9.1
1949,11,3,7
1949,11,4,4.7
1949,11,5,4.5
1949,11,6,4.2
1949,11,7,4.5
1949,11,8,4.7
1949,11,9,4.7
1949,11,10,4.5
